title,company,location,description,data_science_job
( Senior ) Consultant Actuarial Services und Data Science (w/m/d),PwC,München,"Wir sind ein internationales Netzwerk aus 276.000 Mitarbeiterinnen und Mitarbeitern, die ihr Wissen, ihre Erfahrungen und ihre Ideen miteinander teilen.",1.0
(Associate) Developer (f/m/d) - SAP Cloud Platform - Cloud Native Buildpacks,SAP,Walldorf,"You will identify areas for improvement using data from productive applications and services, as well as help automating our operations and configuration.",0.0
(Associate) Developer - Migration & Replication Technology (f/m/d),SAP,Walldorf,University degree in computer science or related technical discipline.The Migration & Replication Technology Team based in Walldorf builds functionality to…,0.0
(Data) Science Consultant (m/w/d),blu BEYOND GmbH,Oberhaching,"Sie haben gerade erfolgreich Ihr Studium in Chemie, Biochemie, Bioinformatik oder ähnlichem absolviert und suchen einen attraktiven Einstieg in die Berufswelt?",1.0
"(Java SE, EE / Python) Full Stack Software Developer for Innovat",Templeton and Partners,Dresden,"8+ years from which at least 3 years as a Full Stack Software Developer in a complex, technically demanding and data savvy industry.",0.0
(Junior) Account Manager Location: Munich or Berlin,AWS EMEA SARL (Germany Branch),München,"A technical background in engineering, computer science, or MIS.Protecting your privacy and the security of your data is a longstanding top priority for Amazon…",0.0
(Junior) Consultant (m/w/d) am Standort Düsseldorf,Omnicom Media Group Germany,Düsseldorf,"Annalect ist Teil der Omnicom Media Group, die Mediaholding der Omnicom, einer weltweit führenden Kommunikations-, Werbe- und Marketingdienstleistungsgruppe.",0.0
(Junior) Consultant (m/w/d) am Standort Hamburg,Omnicom Media Group Germany,Hamburg,"Annalect ist Teil der Omnicom Media Group, die Mediaholding der Omnicom, einer weltweit führenden Kommunikations-, Werbe- und Marketingdienstleistungsgruppe.",0.0
(Junior) Data Analyst (m/w/d) Amazon,Alfred Kärcher SE & Co. KG,Winnenden,"Kärcher ist Weltmarktführer für Reinigungssysteme, -produkte und -dienstleistungen und steht für Qualität, Innovation und Nachhaltigkeit.",1.0
(Junior) Data Analyst - Marketing,Trade Republic Bank GmbH,Berlin-Kreuzberg,Collaborate with the data science team closely on advanced analytics projects.Specify improvements to the data warehouse and general data infrastructure for…,1.0
(Junior) Data Engineer (m/w/d),Ehrenmüller GmbH,Kempten (Allgäu),"Wir sind ein junges Unternehmen mit Sitz in Kempten, das auf Data Science und Künstliche Intelligenz spezialisiert ist und spannende Projekte für Unternehmen…",1.0
(Junior) Data Scientist,Skipsearch GmbH,Gießen,"Was ist das für eine Stelle?*.Wir verantworten den Teamausbau eines der führen Familienunternehmen in der Elektronik-Branche.38,5 H/ Woche, 30 Tage Urlaub.",1.0
(Junior) Data Scientist (m/w/d) zur Erstellung von Lerninhalten,StackFuel GmbH,Berlin-Kreuzberg,In den letzten drei Jahren hat sich StackFuel zu einem der führenden innovativen Anbieter für praxisnahe Online-Trainings im Bereich Data Analytics und Data…,1.0
(Junior) Data Scientist (m/w/d) zur Erstellung von Lerninhalten,StackFuel GmbH,Berlin-Kreuzberg,In den letzten drei Jahren hat sich StackFuel zu einem der führenden innovativen Anbieter für praxisnahe Online-Trainings im Bereich Data Analytics und Data…,1.0
"(Junior) DevOps Engineer, Infrastructure (f/m/d)",SAP,Walldorf,Work Area: Software-Development Operations.Employment Type: Part Time or Regular Full Time.Do you want to help us build and launch our next generation cloud…,0.0
(Junior) Developer (f/m/d) for ABAP Platform Wanted,SAP,Walldorf,"Creating tools for large-scale data modeling and data analytics.A good to excellent degree in computer science, mathematics, natural science, engineering or…",1.0
(Junior) Developer m/f/d - Node.js / Java in SAP Cloud Application Programming Model (CAP),SAP,Walldorf,"An excellent university degree (Bachelor, Diploma, Master, PhD) in computer science or related fields like software engineering, physics, mathematics, or…",0.0
(Junior) Digital Analyst (m/w/d),Axel Springer,Hamburg,"Die immowelt Hamburg GmbH ist Teil der immowelt Group, einer Tochter der Axel Springer SE.Zu dieser gehören auch die immowelt AG mit ihren Portalen immowelt.de…",1.0
(Junior) Pricing Analyst (m/w/d),Axel Springer,Hamburg,"Die immowelt Hamburg GmbH ist Teil der immowelt Group, einer Tochter der Axel Springer SE.Zu dieser gehören auch die immowelt AG mit ihren Portalen immowelt.de…",1.0
"(Junior) Software Developer, Infrastructure (f/m/d)",SAP,Walldorf,Work Area: Software-Design and Development.Employment Type: Part Time or Regular Full Time.Do you want to help us build and launch our next generation cloud…,0.0
"(Sen.) Developer (f/m/d)- ""Data Management and Analytics"" at SAP Intelligent Enterprise Technology",SAP,Dresden,"Comprehensive knowledge of state-of-the-art data management/analytics-related technologies, frameworks, and tools (such as SAP HANA, SAP Analytics Cloud, SAP…",1.0
(Senior) ABAP Developer (f/m/d) S/4HANA for Concur Integration,SAP,Sankt Leon-Rot,"University degree in computer science, engineering or similar area.The integration functionality as of today includes the setup of the integration, master data…",0.0
"(Senior) ABAP Software Developer (Opentext/IXOS) in Sofia, Bulgaria (m/f/diverse)",Commerzbank AG,Würzburg,Root course analysing of system functions and failures or data transfer processes and problems Your responsibilities would consist of:,0.0
"(Senior) Analyst, Performance Marketing (w/m/d)",Wayfair,Berlin,"Arbeitest Du gern mit großen Datensätzen, gerade dann wenn die Fragestellungen etwas kniffliger sind?Motiviert es Dich, spürbaren Einfluss auf das Kerngeschäft…",1.0
(Senior) Associate Data Science Marketing & Communications (w/m/d),PwC,Deutschland,"Wir sind ein internationales Netzwerk aus 276.000 Mitarbeiterinnen und Mitarbeitern, die ihr Wissen, ihre Erfahrungen und ihre Ideen miteinander teilen.",1.0
(Senior) Backend Developer,Lana Labs GmbH,Berlin-Kreuzberg,Work in close contact with our product and data science teams to discover the best solutions to our customer’s problems.4+ years of professional experience.,0.0
(Senior) Backend Developer,Lana Labs GmbH,Berlin-Kreuzberg,Work in close contact with our product and data science teams to discover the best solutions to our customer’s problems.4+ years of professional experience.,0.0
(Senior) Backend Developer Java/Go (f/m/d),LeanIX GmbH,Bonn,"Our Backend-team develops Microservices and APIs, in order to safely persist the data and dependencies of entire IT architectures of our customers.",0.0
(Senior) Clinical Affairs Manager (m/f/d),carrisma,Hamburg,"As a life science company, our client, ""MedSkin Solutions Dr.The trustful handling of your personal data is a matter of course for us.",0.0
(Senior) Consultant (m/w/d),annalect,Düsseldorf,Annalect sind die Spezialisten der Omnicom Media Group Germany für die Erarbeitung und Umsetzung von innovativen und datengetriebenen Marketingkonzepten.,0.0
(Senior) Consultant Data Science / Data Management (w/m/d),zeb.consulting,Berlin,Gestalte mit deinem Format als Consultant für Data Science / Data Management analytische Modelle in der Finanzbranche.,1.0
(Senior) Consultant IT-Compliance (w/m/d),zeb.consulting,Berlin,"Als (Senior) Consultant gestaltest du die IT-Compliance für die Finanzwelt von morgen.Tauche tiefer ein in BAIT, KAIT, MaRisk, DSGVO und weitere Trends und…",0.0
(Senior) Consultant Predictive Excellence (w/m/d),PwC,Deutschland,"Wir sind ein internationales Netzwerk aus 276.000 Mitarbeiterinnen und Mitarbeitern, die ihr Wissen, ihre Erfahrungen und ihre Ideen miteinander teilen.",0.0
(Senior) Data / Search Engineer (w/m/d),Carl Finance GmbH,Berlin,You have at least 4+ years’ experience as a data engineer / data science.You are an experienced data engineer who wants to dive deeper into data science & ML.,1.0
"(Senior) Data Engineer Azure, ETL, ELT, T-SQL, Data Factory (m/f/x)",Venturi Germany GmbH,Hamburg,(Senior) Data Engineer Azure (m/w/d)*.Mein Kunde ist in unterschiedlichen Branchen vertreten und betreut Großkunden in Hamburg als Data Spezialist seit rund 10…,1.0
(Senior) Data Scientist,Trust In Soda,Berlin,"Experience with data streaming technologies i.e. Kafka and Spark are highly desirable.The team you would be joining is the incubation team, the incubation team…",1.0
(Senior) Data Scientist (f/m/d),FRED Executive Search GmbH,Düsseldorf,"Experience in using big data platforms (Spark, Hadoop) for large amounts of data.Several years of professional experience in the field of data engineering,…",1.0
(Senior) Data Scientist (f/m/d) - SAP AI Business Services - Deep Learning Center of Excellence,SAP,Berlin,Push the frontiers of what is possible in the area of machine learning working with real data.You will work within a team of data scientists (f/m/d)…,1.0
(Senior) Data Scientist (m/w/d),Amadeus FiRe,Köln,"(Senior) Data Scientist (m/w/d).Sie sind auf der Suche nach einer neuen spannenden Herausforderung, in der Sie das Unternehmen aktiv mitgestalten können?",1.0
(Senior) Data Scientist (m/w/d),OEV Online Dienste GmbH,Düsseldorf,"Beratung und Begleitung unserer Kunden bei Projekten im Bereich Data Sience.Betreuung von Kunden über den gesamten Prozess: Beratung, Konzeption,…",1.0
(Senior) Data Scientist (m/w/d),Agile IT Management GmbH,Hannover,Daten sind wertvoll – allerdings nur wenn ihre Qualität stimmt und man sie auch zu nutzen weiß.Wir unterstützen unsere Kunden durch den Einsatz von Machine…,1.0
(Senior) Data Scientist / Machine Learning Expert (m/f/d) InsurTech,CHECK24 Versicherungsservice GmbH,München,"Distinguished experience with Python and its data science libraries (pandas, scikit-learn, numpy, tensorflow).",1.0
(Senior) Data Scientist | MicroStrategy Expert (m/w/d),EVENTIM,Hamburg,Der Bereich Information Science verwandelt Daten in Produkte & Services für unsere 100 Millionen Endkunden und Tausende von Partnern.,1.0
(Senior) DevOps & Cloud Engineer (m/w/d),EVENTIM,Hamburg,"Der Bereich Information Science verwandelt Daten in Informationen, Produkte und Services für unsere 100 Millionen Endkunden und Tausende von Partnern.",0.0
"(Senior) DevOps Engineer, Infrastructure (f/m/d)",SAP,Walldorf,Work Area: Software-Development Operations.Employment Type: Part Time or Regular Full Time.Do you want to help us build and launch our next generation cloud…,0.0
(Senior) Developer (f/m/d) for Industry 4.0 and International Data Space (IDS) - SAP Munich,SAP,Hallbergmoos,"Deal with IoT data and analytics.Industry 4.0 applications generate a huge amount of data that need to be shared among stakeholders like operator, manufacturer…",1.0
(Senior) Developer (f/m/d) for Mobility Solutions and Applications,SAP,Hallbergmoos,"Advanced experience with object-oriented programming, common data structures and algorithms.Good degree in computer science, software engineering or a related…",0.0
(Senior) Developer (f/m/d) for SAP Graph Product Development,SAP,Walldorf,"Solid programming skills and a solid foundation in computer science with strong competencies in data structures, algorithms, databases, and software design.",0.0
(Senior) Developer (f/m/d) for Spotlight by SAP,SAP,Berlin,"Excellent programming skills in JavaScript, Java and Python and a solid foundation in computer science with strong competencies in data structures, algorithms,…",0.0
(Senior) Developer (f/m/d)- SAP Intelligent Enterprise,SAP,Walldorf,"Design and develop the next generation data model (One Domain Model) as well as tools, SDKs, and services easing the consumption of the One Domain Model.",0.0
(Senior) Developer (f/m/d)- SAP One Domain Model,SAP,Walldorf,Design and develop the visualization and documentation tool of the next generation data model (SAP One Domain Model).Employment Type: Regular Full Time.,0.0
(Senior) Developer - Cloud Platform - Private Account Connectivity (f/m/d),SAP,Walldorf,The Account Connectivity Team is responsible for creating a service that creates private networks between different IaaS accounts to ensure secure data transfer…,0.0
"(Senior) Developer, Infrastructure (f/m/d)",SAP,Walldorf,Work Area: Software-Design and Development.Employment Type: Part Time or Regular Full Time.Do you want to help us build and launch our next generation cloud…,0.0
(Senior) Digital Analyst (m/w/d),OEV Online Dienste GmbH,Düsseldorf,"Beratung und Begleitung unserer Kunden bei Projekten im Bereich Data Analytics.Betreuung von Kunden über den gesamten Prozess: Beratung, Konzeption,…",0.0
(Senior) Digital Analyst (m/w/d),Axel Springer,Hamburg,"Die immowelt Hamburg GmbH ist Teil der immowelt Group, einer Tochter der Axel Springer SE.Zu dieser gehören auch die immowelt AG mit ihren Portalen immowelt.de…",1.0
(Senior) Financial Controller Marketing (w/m/d),Deutsche Bahn,Frankfurt am Main,"Wie sich Mobilität morgen auf Schienen, Straßen und Luftweg anfühlen wird, das entscheidet sich schon heute an Deinem Arbeitsplatz.",0.0
(Senior) Frontend Engineer (f/m/d),Planetly,Berlin,"As we see ourselves as 'for-purpose - for-profit', we're committed to employing all entrepreneurial abilities to solve one of our generation's most pressing…",0.0
(Senior) IT Berater Pharma / Chemie (mwd),Vesterling AG,Aachen,(Senior) IT Berater Pharma / Chemie (mwd).Internationale IT-Beratungsaufgabe im Chemie- und Pharmabereich.Als (Senior) IT Berater Pharma / Chemie führen Sie…,0.0
(Senior) Machine Learning Engineer - Payments - (W/M/W),Zalando,Berlin,"Solid experience with Python / Scala, big data frameworks like Spark, ML libraries like scikit-learn, Spark ML, PyTorch/TensorFlow, and cloud-based solutions …",1.0
(Senior) Manager (all genders) Data Science/AI Strategy Financial Services,Accenture,Frankfurt am Main,Deine Persönlichkeit und Individualität machen den Unterschied.Im Team von Accenture steigern wir die unternehmerische Leistungsfähigkeit unserer Kunden und…,1.0
(Senior) Manager (w/m/d) Data & Analytics – Consulting (Financial Services),Ernst & Young,Deutschland,"Gemeinsam zukunftsweisende Lösungen für die Finanzwelt von morgen entwickeln: Das ist das Ziel unserer international auf Banken, Versicherungen und Asset…",1.0
(Senior) Manager (w/m/d) Data & Analytics – Consulting (Financial Services),Ernst & Young,Deutschland,"Gemeinsam zukunftsweisende Lösungen für die Finanzwelt von morgen entwickeln: Das ist das Ziel unserer international auf Banken, Versicherungen und Asset…",1.0
"(Senior) Medical Science Liaison, Germany",Seattle Genetics,München,"Facilitate scientific discussions in the field and work with in-house and field partners to facilitate ongoing information/clinical data sharing (i.e., new data…",0.0
(Senior) PHP Backend Developer (m/f/d),allmyhomes GmbH,Berlin-Kreuzberg,Specialist in Software Application Development or university degree holder in the field of (media) computer science or equivalent.,0.0
(Senior) Project Consultant (f/m/d) for SAP Graph,SAP,Potsdam,Very good university degree in computer science or a related field.It provides an easy to use entity model that can be used to build new extensions and…,0.0
(Senior) QA Engineer (f/m/d),SHARE NOW,Berlin,You have strong skills in design & implementation of automation frameworks via data driven/keyword/hybrid models.You could be one of them.,0.0
(Senior) Quality Engineer (f/m/d) for Spotlight by SAP,SAP,Berlin,Ensure the quality of our data-science-heavy SaaS application.Its focus is to help enterprises improve their business operations and processes in a data-driven…,0.0
(Senior) Quality Specialist (f/m/d) for SAP Analytics Cloud,SAP,Walldorf,"It combines all analytics capabilities – including business intelligence, planning, predictive, and data visualization - in a single cloud-based solution.",1.0
(Senior) React Frontend Developer (m/f/d),neurocat GmbH,Berlin,"Experience in handling big amounts of data.Our office is located directly in the heart of the science park Berlin Adlershof, a brief 10-minute walk from the S…",0.0
(Senior) React Frontend Developer (m/f/d),neurocat GmbH,Berlin,"Experience in handling big amounts of data.Our office is located directly in the heart of the science park Berlin Adlershof, a brief 10-minute walk from the S…",0.0
(Senior) Risk Data Manager (m/w/divers),Commerz Real AG,Düsseldorf,Als (Senior) Risk Data Manager und Teil des Risk Management Teams bist Du verantwortlich für den Betrieb sowie die (Weiter)Entwicklung der Risikodatenbanken.,0.0
(Senior) Security Architect (f/m/d) - Cyber Security Design (Senior) Specialist,SAP,Walldorf,"Additionally, it is acting as the trusted partner & advisor for IT and data security matters and is handling Security Incidents.WHAT YOU GET FROM US.",0.0
(Senior) Security DevOps Application Engineer (f/m/d),SAP,Sankt Leon-Rot,Development and implementation of data quality improvement measures.A high data quality focus and a strong affinity to IT security are key.,0.0
(Senior) Software Developer (f/m/d) for Spotlight by SAP,SAP,Berlin,Develop our data-science-heavy SaaS solution.Excellent programming skills in Java and Python and a solid foundation in computer science with strong…,1.0
(Senior/ Expert) Developer (f/m/d) - Security Validation Project Lead,SAP,Sankt Leon-Rot,"Master’s degree in natural science or a related discipline like in computer science, information systems, mathematics.About the Security Validation Team.",0.0
(Sr) Medical Science Liaison (Manager) (m/f/d) - Lower Saxony & neighboring areas,Biogen,München,Real world data including comparative effectiveness data concerning neuroscience portfolio.Relevant medical and scientific data and papers with selected…,0.0
(Sr.) Product Designer (m/f/d) for a B2B Marketplace Platform,Datarade,Berlin,"However, while it’s getting easier to make sense of internal data and get access to open data, finding and buying commercial data has remained notoriously…",0.0
"(Wirtschafts-) Mathematiker, Physiker und weitere Natur- oder Ingenieurwissenschaftler (w/m/d) Business Modeling und Data Analytics – Transaction Advisory (Financial Services)",Ernst & Young,Frankfurt am Main,"Gemeinsam zukunftsweisende Lösungen für die Finanzwelt von morgen entwickeln: Das ist das Ziel unserer international auf Banken, Versicherungen und Asset…",0.0
.Net Developer,Pentasia,Sachsen-Anhalt,"A degree in computer science or equivalent.Understand the business to manage the functionalities and service needs (especially the data process: accounting,…",0.0
1711 - Principal Regulatory Writer,Certara,München,Able to synthesize data across multiple data sources and documents to create summary reports.Accepting Applicants in Germany or the Netherlands.,0.0
"2 Doctoral Students (100%), PhenoRob, Kennziffer 89/20/3.202",Rheinische Friedrich-Wilhelms-Universität Bonn,Bonn,"Making sensing/intervention decisions on the farm, rather than passive devices for data collection.Using autonomous robots with automated and individualized…",0.0
2 Research Associates / Postdocs (subject to personal qualification employees are remunerated according to salary group E 13 TV-L),Technische Universität Dresden,Dresden,"Reference to data protection: Your data protection rights, the purpose for which your data will be.Processed, as well as further information about data…",0.0
2 postions - Research Assistant - salary grade E 13 TV-L Berliner Hochschulen,Technische Universität Berlin,Berlin,Please find our data protection notice acc.By submitting your application via email you consent to having your data electronically processed and saved.,0.0
2 wiss. Mitarbeiter/innen / Doktoranden/-innen (bei Vorliegen der persönlichen Voraussetzungen E 13 TV-L),Technische Universität Dresden,Dresden,"Reference to data protection: Your data protection rights, the purpose for which your data will be.FMRI/EEG data; writing scientific papers; presenting…",0.0
2 wiss. Mitarbeiter/innen / Doktoranden/-innnen (bei Vorliegen der persönlichen Voraussetzungen E 13 TV-L),Technische Universität Dresden,Dresden,"Reference to data protection: Your data protection rights, the purpose for which your data will be.FMRI/EEG data; writing scientific papers; presenting…",0.0
2021 Finance Leadership Development Program (FLDP) - EMEA,Johnson & Johnson Family of Companies,Deutschland,"Tech Savvy and data inquisitive.We embrace research and science - bringing innovative ideas, products and services to advance the health and well-being of…",0.0
331/2020 - Research Assistant (m/f/d),Otto-von-Guericke-Universität Magdeburg,Magdeburg,"Please note the information for storage of personal data:Master or diploma degree in computer science, computational visualistics, interaction design or a…",0.0
"33479 - W 1 Tenure-Track Professorship (m / f / d) ""Environmentally Compatible Animal Nutrition""",Universität Kassel,Kassel,The use of digital technologies for high-resolution data collection and automated evaluation of data can thereby offer advantages.,0.0
"4 university professorships for: Human-Robot Interaction, Mathematics of Machine Learning, Natural Language Processing, Theory of Machine Learning id48868",University of Würzburg,Würzburg,"For computer science or mathematics.Home to over 28,000 students, Julius-Maximilians-Universität Würzburg (JMU) is one of the largest universities in Germany.",1.0
7813: Dualer Master (m/w/d) als Softwareentwickler in Memmingen,Steinbeis Center of Management and Technology GmbH,Memmingen,Bei unserem Partnerunternehmen COMSYS verantworten Sie eigenständig ein Studienprojekt im Bereich der Softwareentwicklung in der Lebensmittelindustrie und…,0.0
8139: Dualer Bachelor Wirtschaftsinformatik (m/w/d) als Junior Salesforce Consultant (München),Steinbeis Center of Management and Technology GmbH,München,Bei unserem Partnerunternehmen NTT DATA verantworten Sie eigenständig ein Studienprojekt im Bereich Salesforce Consulting und werden während des gesamten…,0.0
8346: Dualer Master (m/w/d) als Junior Change Manager im Bereich Business Intelligence und Data Warehousing,Steinbeis Center of Management and Technology GmbH,Nürnberg,Bei unserem Partnerunternehmen der Rietzler Gruppe GmbH verantworten Sie eigenständig ein Studienprojekt im Bereich Change Management und werden während des…,1.0
ACS Front Desk and Relocation Services (w/m/d),French Consulting LLC,Wiesbaden,"1 year experience in conducting briefings, trainings, preparing formal and informal correspondence, memorandum, reports, and data collection, and creating…",0.0
AI Data Scientist / Signal Processing (f/m/d),WOW Tech Group,Berlin,"You have solid practical and/or theoretical experience in data analysis, pattern recognition and artificial intelligence.Then you are at the right place!",1.0
"AI Intern, RADAR-camera systems",TERAKI GmbH,Berlin,Work on data pre-processing and labeling of the data recoded with RADAR-camera setup.Teraki provides data reduction and data processing solutions for…,1.0
AI Software Engineer (m/w/d),SWJ Engineering GmbH,Ingolstadt,Die SWJ GRUPPE ist ein international tätiges Ingenieur- und Consultingunternehmen.Das Leistungsspektrumreicht von der Planung einzelner Gewerke über…,1.0
AI Software Engineer*,inform GmbH,Ingolstadt,"Geschlecht egal - Hauptsache, Sie passen zu uns!BERUFSFELD(ER): IT / Big Data.BRINGEN SIE IHRE ZUKUNFT inform!Sie entwickeln eigenständig KI-Kernalgorithmen.",1.0
