title,company,location,description
"Duales Studium Data Science* (m/w/d), Kleinheubach",ERBACHER the food family,Wertheim,Dir ist der Begriff „Künstliche Intelligenz“ nicht fremd und du interessierst dich immer für die neusten Technologien auf dem Markt?
Application Developer (m/w/d) Medical Data & Video Science,Snke OS,München,"Fueled by AI & big data analytics, Snke OS delivers the platform & infrastructure that enables partners across the healthcare industry to deploy digital…"
(Senior) Growth Data Analyst,Blinkist,Home Office,"You are a link to data engineering and data science on initiatives that need their involvement.A strong analytical foundation: Advanced SQL skills, experience…"
Teamleiter Data Analytics / Data Scientist (m/w/d),Lidl Dienstleistung GmbH & Co. KG,Neckarsulm,Bei Lidl arbeiten heißt: die Zukunft des Handels mitgestalten.Dabei das große Ganze ebenso im Blick haben wie die Details.Für dein Team – und für dich selbst.
Data Scientist (m/f/x),solexas GmbH,Karlsruhe,Exchange your knowledge with other data scientists and developers on the team and possibly take responsibilities outside pure data science when needed.
Data Scientist (m/f/d),AutoScout24,München,"Monitor data quality and work on feature engineering.Background in a quantitative field such as computer science, electrical engineering, economics, etc."
Data Engineer (m|f|d),Sartorius Stedim Biotech,Göttingen,You create and maintain data models to make information available in a user-friendly fashion for use in data analytics.
Expert (m|f|d),Sartorius Corporation,Göttingen,Successfully completed natural science studies with specialization in chemistry or biochemistry.Sartorius’ ambition is to simplify progress in life science…
Quality Assurance Trainee/Student (f/m/d),Thryve,Berlin-Kreuzberg,"Analysing raw sensor signals and health data, our multi-disciplinary team creates a comprehensive set of health indicators available from everyday devices."
Expert (m|f|d) Product Compliance & Hazardous Substances,Sartorius Stedim Biotech,Göttingen,Successfully completed natural science studies with specialization in chemistry or biochemistry.Sartorius’ ambition is to simplify progress in life science…
Technical Business Analyst,GfK,Nürnberg,"We connect data, science and innovative digital research solutions to provide answers for key business questions around consumers, markets, brands and media."
Head of Product Management Sustainability (m|f|d),Sartorius Stedim Biotech,Home Office,Sartorius’ ambition is to simplify progress in life science research and the.We are currently seeking a Head of Product Management Sustainability (m|f|d) for…
Medical Scientific Liaison (m/f/d) DACH,Abiomed,Nordrhein-Westfalen,The Medical Scientific Liaison shall act as a medical-scientific expert between Abiomed and the medical community through the communication of medical…
Development & Technology Expert (m|f|d),Sartorius Stedim Biotech,Home Office,Sartorius’ ambition is to simplify progress in life science research and the biopharmaceutical industry to help translate scientific findings into new…
"Telco NFV, TIP and OpenRAN - Product Manager",Canonical - Jobs,Bonn,A technical or science background and qualifications.Strong aptitude for data-driven decision-making.Product leadership at Canonical is data-driven and…
Duales Studium zum Master of Science in Informatik (w/m/d),ORDIX AG,Wiesbaden,"Du erlernst die Funktionsweise von Data Warehouse, Business Intelligence und Big Data Technologien und deren Einsatz in echten Projekten."
Senior Data Engineer - Product Intelligence & Machine Learning,Babbel,Berlin,"Computer science or related engineering degree and 5 years professional experience as data engineer.Very strong skills in the Python data stack, especially…"
Dual study program IT Security (m/f/d),TUI,Hannover,You will work within clear structures and what you learnt in order to ensure the protection of our sensitive customer data.WHAT YOU WILL BE DOING.
Ubuntu Robotics Product Manager,Canonical - Jobs,Berlin,A technical or science background and qualifications.Strong aptitude for data-driven decision-making.Product leadership at Canonical is data-driven and…
Full Stack Web Developer,SolaVieve Technologies GmbH,Home Office,TELEMEDICINE REMOTE WORKING – HEALTH & WELLNESS.SolaVieve is a progressive technology and operations company focused on building communities worldwide around…
IT Specialist (m/w/d),Sicoya GmbH,Berlin,"Supporting the development of a data management system with various databases and operating systems.Degree in computer science, business informatics or…"
(Senior) Product Owner (m/f/x),Clark Germany GmbH,Frankfurt am Main,Leveraging quantitative and qualitative data to continuously improve user monetization.You are driven by data and base your prioritization and work on…
Frontend Developer:in [m/w/d] | Expert for next level & data driven user experiences,WAYS GmbH,Düsseldorf,"Du machst unsere nächste Software zur Brand.Du gibst deinem Code den Style, den er verdient hat.Du hast das Multitalent, das alle wollen."
AI Software Engineer (m/w/d),SWJ Engineering GmbH,Ingolstadt,Die SWJ GRUPPE ist ein international tätiges Ingenieur- und Consultingunternehmen.Das Leistungsspektrumreicht von der Planung einzelner Gewerke über…
Consultant Data Engineering (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Senior Analytics Architect (f/m/d),Vodafone,Düsseldorf,"Data science topics like machine learning, data mining, statistics, and visualisation.Our team consists of experts in machine learning, data science, software…"
Senior Ruby on Rails Developer (m/f/d),DataGuard,München,DataGuard is re-inventing data protection across Europe with our “Privacy as a Service” (PaaS) approach and helps customers on their journey to comply with the…
Intern (f/m/d): SAP Cloud Programming Model (CAP) - Java Developer,SAP,Walldorf,Preferred fields of study: computer science or related fields.Work Area: Software-Design and Development.Employment Type: Limited Full Time.
HANA Cloud (Senior) Service Developer (f/m/d) - HANA Cross Cloud Enablement Data Team,SAP,Walldorf,"We enable our customer to manage their data storage, run powerful applications and federate their data between different sources - all within a single cloud…"
Ubuntu Core - Linux for IoT Product Manager,Canonical - Jobs,München,A technical or science background and qualifications.Track record of data-driven decision-making.Product leadership at Canonical is data-driven and content…
C++ (Junior) Developer (f/m/d) for HANA Execution Engine,SAP,Walldorf,"M.Sc or higher university degree in computer science.Profound knowledge of data structures, thread safe and high performance algorithms.WHAT YOU GET FROM US."
Cloud Engineer (m/f/d),e.pilot GmbH,Köln,"You have a very high capacity for abstraction, a sound algorithmic understanding and affinity for working with data.You have a Do-It mentality."
Cloud Developer SAP Event Ticketing (Senior/Expert) (f/m/d),SAP,Sankt Leon-Rot,"In our team you will be end-to-end responsible for your projects, this could be back end, front end, web application, data and application integration, as well…"
HANA Cloud (Senior) Service Developer (f/m/d) - HANA Cross Cloud Enablement,SAP,Walldorf,"We enable our customer to manage their data storage, run powerful applications and federate their data between different sources - all within a single cloud…"
Working Student - Data Analytics / Data Science,umlaut AG,Aachen,You will support our team with data preparation and analysis tasks in projects ranging from data collection to visualization.
Data Scientist (*),Schenker AG Head Office,Essen,"Several years of industrial experience in data analytics or machine learning projects and hands-on experience with SQL, Python and relevant data science…"
Junior Pricing Actuary / Mathematician / Data Scientist (m/f/d) - Retail,ERGO Group,Düsseldorf,"Also spend time on data preparation beforehand, detecting data errors and finding and adjusting for missing data (actual data doesn't look like academic data)."
Data-Scientist (m/w/d),Grenzebach Group,Hamlar,Als international tätiges High-Tech-Unternehmen schaffen wir Produktions-Anlagen und Technologien für zahlreiche Branchen.Kommen Sie jetzt in unser Team!
Junior Pricing Actuary / Mathematician / Data Scientist (m/f/d) - Commercial,ERGO Group,Düsseldorf,"A steep learning curve and lots of exposure to actuarial and data science methods.Yes, truth be told, sometimes also a lot of tedious data collection and data…"
"Data Scientist for Product (f/m/d) - Amsterdam, London, Cologne or remote",DeepL GmbH,Home Office,Proactively dig through our data and make meaningful suggestions.Practical experience with big data tools is a plus.Is Germany's best-known AI company.
Berater Machine Learning und Data Science (m/w/d),NextLytics AG,Home Office,"Du möchtest mit Deinem strategischem Weitblick und analytischem Scharfsinn Geschäftsmodelle verändern und suchst nach einer neuen Herausforderung, um Machine…"
Students (f/m/d) for the SAP Data Hub Development Team,SAP,Walldorf,Our team has the mission to build a comprehensive platform for defining and managing complex data pipelines across heterogeneous corporate data sources; from…
Student Data Analytics,Simplifa GmbH,Berlin,"Define business critical questions to be answered by data.Strong problem solving and analytic abilities, passionate about data."
Text analytics intern (all genders),Merck KGaA,Darmstadt,"Pursuing master’s degree in computer science, information science, artificial intelligence, data science or similar fields.Career Level: A - Current Student."
Data Analyst / Data Scientist (f/m/d) - Siemens Financial Services,Siemens Financial Services GmbH,München,"Wir sind mehr als nur ein Finanzdienstleister, denn wir verwirklichen, worauf es ankommt.Ganz gleich, ob es um erneuerbare Energien, die Digitalisierung in der…"
ACS Front Desk Services,French Consulting,Wiesbaden,"1 year experience in conducting briefings, trainings, preparing formal and informal correspondence, memorandum, reports, and data collection, and creating…"
Data Scientist / Deep Learning Expert - Computer Vision (m/w/d),elunic AG,München,"Elunic ist eines der am schnellsten wachsenden Industrie 4.0 Technologieunternehmen in Europa.Unsere Vision ist es, die Zukunft der vernetzten Produktion durch…"
Data Scientist for Financial Management Solutions at Serviceware AI (m/f/d),Serviceware SE,Darmstadt,Deep interest in data science and the development of machine learning models.You utilize modern data infrastructures to import and preprocess data in scalable…
Entwicklungsingenieur | Big Data ADAS (m/w/d),ASAP Holding GmbH,Weissach,"Sie möchten für einen der 25 weltweit umsatzstärksten Entwicklungsdienstleister arbeiten?Am besten in einem attraktiven, vielfach ausgezeichneten Arbeitsumfeld…"
